ticker,symbol,future,tframe,today,expiry,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2024-12-19,1734566400,6023.0,6023.0,6023.0,6023.0,1,1,30
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2024-12-20,1734652800,5964.0,6105.0,5964.0,6105.0,5,1,44
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2024-12-23,1734912000,6054.25,6054.25,6031.0,6035.25,6,1,120
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2024-12-26,1735171200,6158.25,6163.25,6158.25,6163.25,2,1,4
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2024-12-27,1735257600,6018.5,6066.75,6018.5,6066.75,4,1,8
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2024-12-30,1735516800,6036.25,6047.0,6027.75,6027.75,14,1,38
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-02,1735776000,6054.5,6055.0,5941.0,5972.25,143,1,166
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-06,1736121600,6077.0,6080.0,6077.0,6080.0,2,1,2
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-07,1736208000,6040.0,6040.0,6004.75,6007.5,5,1,61
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-08,1736294400,5994.0,6022.0,5984.75,6022.0,19,1,92
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-10,1736467200,6009.25,6009.25,5915.0,5938.0,31,1,191
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-13,1736726400,5870.0,5915.0,5870.0,5915.0,3,1,3
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-14,1736812800,5935.0,5945.75,5931.5,5931.5,3,1,6
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-15,1736899200,6046.25,6046.5,6046.25,6046.5,2,1,2
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-17,1737072000,6085.5,6109.5,6083.0,6102.5,17,1,41
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-20,1737331200,6088.0,6126.0,6085.5,6115.25,53,1,199
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-21,1737417600,6117.0,6143.0,6116.0,6143.0,30,1,69
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-22,1737504000,6180.0,6191.0,6178.5,6188.75,16,1,89
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-23,1737590400,6175.0,6213.25,6174.0,6213.25,43,1,163
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-24,1737676800,6253.25,6256.5,6189.25,6189.5,26,1,94
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-27,1737936000,6030.0,6088.0,6030.0,6076.5,19,1,65
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-28,1738022400,6108.0,6152.0,6094.0,6152.0,25,1,59
WSP,WSPM25,M25,D1,2026-04-06,2025-06-20,2025-01-29,1738108800,6115.25,6145.0,6115.25,6135.25,18,1,21
