ticker,symbol,future,tframe,today,expiry,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-10-20 10:00:00,1634724000,114775.0,114775.0,114775.0,114775.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-14 11:00:00,1639479600,112000.0,112000.0,112000.0,112000.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-14 14:00:00,1639490400,110205.0,110205.0,110205.0,110205.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-14 16:00:00,1639497600,110000.0,110025.0,110000.0,110025.0,2,5,2
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 09:00:00,1639558800,109875.0,109900.0,109725.0,109900.0,23,5,61
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 10:00:00,1639562400,109900.0,109925.0,109635.0,109635.0,40,5,177
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 11:00:00,1639566000,109645.0,109870.0,109180.0,109330.0,91,5,209
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 12:00:00,1639569600,108835.0,109430.0,108685.0,109395.0,147,5,387
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 13:00:00,1639573200,109385.0,110590.0,109385.0,109450.0,16,5,46
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 14:00:00,1639576800,109410.0,109750.0,109410.0,109685.0,6,5,8
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 15:00:00,1639580400,109700.0,109700.0,109700.0,109700.0,2,5,2
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 16:00:00,1639584000,109800.0,110680.0,109500.0,109600.0,10,5,10
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-15 18:00:00,1639591200,110390.0,110695.0,110200.0,110695.0,8,5,17
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 09:00:00,1639645200,111300.0,111970.0,111300.0,111575.0,49,5,96
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 10:00:00,1639648800,111725.0,112000.0,111510.0,111650.0,19,5,93
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 11:00:00,1639652400,111515.0,111555.0,110875.0,110875.0,12,5,12
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 12:00:00,1639656000,111210.0,111435.0,110865.0,111415.0,21,5,30
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 13:00:00,1639659600,111265.0,111605.0,111265.0,111460.0,10,5,48
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 15:00:00,1639666800,111120.0,111845.0,110990.0,111415.0,132,5,210
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 16:00:00,1639670400,111360.0,111440.0,111015.0,111015.0,7,5,7
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 17:00:00,1639674000,111275.0,111575.0,111150.0,111515.0,11,5,11
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-16 18:00:00,1639677600,111490.0,111535.0,111340.0,111535.0,4,5,4
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 09:00:00,1639731600,110770.0,110840.0,110425.0,110425.0,7,5,7
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 11:00:00,1639738800,110305.0,110305.0,109750.0,109750.0,18,5,41
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 12:00:00,1639742400,109650.0,110500.0,109550.0,110500.0,4,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 13:00:00,1639746000,110445.0,110650.0,110250.0,110250.0,8,5,56
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 14:00:00,1639749600,110250.0,110820.0,110250.0,110730.0,8,5,10
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 15:00:00,1639753200,110700.0,110780.0,110645.0,110780.0,4,5,22
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 16:00:00,1639756800,110625.0,110625.0,110350.0,110350.0,3,5,4
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 17:00:00,1639760400,110100.0,110230.0,110100.0,110210.0,3,5,5
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-17 18:00:00,1639764000,110285.0,110285.0,110045.0,110045.0,10,5,10
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 09:00:00,1639990800,108700.0,108800.0,108700.0,108730.0,5,5,5
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 10:00:00,1639994400,108800.0,108800.0,107965.0,108345.0,11,5,16
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 11:00:00,1639998000,107850.0,107960.0,107775.0,107860.0,7,5,27
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 12:00:00,1640001600,108200.0,108200.0,107430.0,107430.0,9,5,9
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 13:00:00,1640005200,107550.0,107550.0,107550.0,107550.0,1,5,2
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 14:00:00,1640008800,107700.0,107700.0,107700.0,107700.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 15:00:00,1640012400,107600.0,107600.0,107600.0,107600.0,1,5,7
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 17:00:00,1640019600,107715.0,107720.0,107715.0,107715.0,11,5,21
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-20 18:00:00,1640023200,107920.0,108000.0,107920.0,108000.0,3,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-21 10:00:00,1640080800,108315.0,108315.0,108315.0,108315.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-21 11:00:00,1640084400,108015.0,108080.0,108015.0,108080.0,3,5,5
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-21 13:00:00,1640091600,108270.0,108400.0,108270.0,108400.0,4,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-21 15:00:00,1640098800,108255.0,108255.0,108255.0,108255.0,1,5,2
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-21 17:00:00,1640106000,108520.0,108520.0,108475.0,108475.0,2,5,3
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-21 18:00:00,1640109600,108345.0,108345.0,108105.0,108145.0,4,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 09:00:00,1640163600,108200.0,108200.0,108200.0,108200.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 10:00:00,1640167200,108375.0,108375.0,108115.0,108115.0,6,5,16
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 11:00:00,1640170800,107650.0,107650.0,107260.0,107260.0,11,5,21
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 12:00:00,1640174400,107745.0,107750.0,107745.0,107750.0,2,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 13:00:00,1640178000,108050.0,108050.0,107900.0,107900.0,2,5,4
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 14:00:00,1640181600,107950.0,107950.0,107950.0,107950.0,2,5,10
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-22 17:00:00,1640192400,108050.0,108130.0,108050.0,108130.0,3,5,5
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 09:00:00,1640250000,108480.0,108630.0,108480.0,108630.0,2,5,8
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 10:00:00,1640253600,108000.0,108000.0,107700.0,107700.0,4,5,10
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 11:00:00,1640257200,107515.0,107515.0,107500.0,107500.0,2,5,2
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 12:00:00,1640260800,107820.0,107820.0,107715.0,107715.0,3,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 13:00:00,1640264400,107395.0,107395.0,107395.0,107395.0,1,5,4
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 14:00:00,1640268000,107745.0,107745.0,107445.0,107745.0,5,5,5
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 16:00:00,1640275200,107770.0,107770.0,107745.0,107745.0,2,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-23 17:00:00,1640278800,107650.0,107650.0,107650.0,107650.0,1,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-27 10:00:00,1640599200,107985.0,108325.0,107985.0,108180.0,4,5,6
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-27 11:00:00,1640602800,108150.0,108365.0,107630.0,107630.0,7,5,10
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-27 12:00:00,1640606400,108210.0,108210.0,108210.0,108210.0,1,5,1
WIN,WINJ22,J22,H1,2026-04-06,2022-04-13,2021-12-27 14:00:00,1640613600,108300.0,108300.0,108300.0,108300.0,4,5,10
