ticker,symbol,future,expiry,tframe,time,open,high,low,close,tick_volume,spread,real_volume
WIN,WINJ22,J22,2022-04-13,D1,1634688000.0,114775.0,114775.0,114775.0,114775.0,1.0,5.0,1.0
WIN,WINJ22,J22,2022-04-13,D1,1639440000.0,112000.0,112000.0,110000.0,110025.0,4.0,5.0,4.0
WIN,WINJ22,J22,2022-04-13,D1,1639526400.0,109875.0,110695.0,108685.0,110695.0,343.0,5.0,917.0
WIN,WINJ22,J22,2022-04-13,D1,1639612800.0,111300.0,112000.0,110865.0,111535.0,265.0,5.0,511.0
WIN,WINJ22,J22,2022-04-13,D1,1639699200.0,110770.0,110840.0,109550.0,110045.0,65.0,5.0,161.0
WIN,WINJ22,J22,2022-04-13,D1,1639958400.0,108700.0,108800.0,107430.0,108000.0,49.0,5.0,94.0
WIN,WINJ22,J22,2022-04-13,D1,1640044800.0,108315.0,108520.0,108015.0,108145.0,15.0,5.0,23.0
WIN,WINJ22,J22,2022-04-13,D1,1640131200.0,108200.0,108375.0,107260.0,108130.0,27.0,5.0,63.0
WIN,WINJ22,J22,2022-04-13,D1,1640217600.0,108480.0,108630.0,107395.0,107650.0,20.0,5.0,47.0
WIN,WINJ22,J22,2022-04-13,D1,1640563200.0,107985.0,108370.0,107630.0,108220.0,21.0,5.0,32.0
WIN,WINJ22,J22,2022-04-13,D1,1640649600.0,108550.0,108550.0,107255.0,107255.0,16.0,5.0,28.0
WIN,WINJ22,J22,2022-04-13,D1,1640736000.0,107095.0,107095.0,106515.0,106785.0,12.0,5.0,40.0
WIN,WINJ22,J22,2022-04-13,D1,1640822400.0,107430.0,107850.0,107175.0,107560.0,18.0,5.0,52.0
WIN,WINJ22,J22,2022-04-13,D1,1641168000.0,107775.0,108550.0,106100.0,106700.0,23.0,5.0,35.0
WIN,WINJ22,J22,2022-04-13,D1,1641254400.0,106985.0,107120.0,105650.0,105800.0,21.0,5.0,33.0
WIN,WINJ22,J22,2022-04-13,D1,1641340800.0,106020.0,106020.0,103105.0,103105.0,26.0,5.0,54.0
WIN,WINJ22,J22,2022-04-13,D1,1641427200.0,103395.0,104450.0,103395.0,103740.0,11.0,5.0,33.0
WIN,WINJ22,J22,2022-04-13,D1,1641513600.0,104000.0,104895.0,103515.0,104850.0,14.0,5.0,26.0
WIN,WINJ22,J22,2022-04-13,D1,1641772800.0,104300.0,104550.0,103450.0,104300.0,10.0,5.0,28.0
WIN,WINJ22,J22,2022-04-13,D1,1641859200.0,104140.0,106150.0,104140.0,105625.0,35.0,5.0,94.0
WIN,WINJ22,J22,2022-04-13,D1,1641945600.0,107500.0,108180.0,107350.0,108085.0,23.0,5.0,71.0
WIN,WINJ22,J22,2022-04-13,D1,1642032000.0,107450.0,108375.0,107365.0,108110.0,16.0,5.0,54.0
WIN,WINJ22,J22,2022-04-13,D1,1642118400.0,107885.0,109290.0,107500.0,109290.0,27.0,5.0,83.0
WIN,WINJ22,J22,2022-04-13,D1,1642377600.0,109040.0,109040.0,108240.0,108985.0,18.0,5.0,53.0
WIN,WINJ22,J22,2022-04-13,D1,1642464000.0,108000.0,109130.0,108000.0,108900.0,20.0,5.0,66.0
WIN,WINJ22,J22,2022-04-13,D1,1642550400.0,109385.0,110900.0,109365.0,110465.0,37.0,5.0,116.0
WIN,WINJ22,J22,2022-04-13,D1,1642636800.0,110550.0,112045.0,110425.0,111440.0,50.0,5.0,129.0
WIN,WINJ22,J22,2022-04-13,D1,1642723200.0,110750.0,111945.0,110605.0,111160.0,29.0,5.0,116.0
WIN,WINJ22,J22,2022-04-13,D1,1642982400.0,110685.0,110805.0,108900.0,110685.0,85.0,5.0,319.0
WIN,WINJ22,J22,2022-04-13,D1,1643068800.0,109785.0,112675.0,109515.0,112300.0,111.0,5.0,289.0
WIN,WINJ22,J22,2022-04-13,D1,1643155200.0,113230.0,114650.0,113000.0,113645.0,211.0,5.0,741.0
WIN,WINJ22,J22,2022-04-13,D1,1643241600.0,113815.0,115100.0,113800.0,114550.0,103.0,5.0,244.0
WIN,WINJ22,J22,2022-04-13,D1,1643328000.0,113985.0,115000.0,113495.0,113925.0,66.0,5.0,117.0
WIN,WINJ22,J22,2022-04-13,D1,1643587200.0,113620.0,114565.0,113200.0,114305.0,94.0,5.0,406.0
WIN,WINJ22,J22,2022-04-13,D1,1643673600.0,114340.0,115325.0,114195.0,115325.0,78.0,5.0,230.0
WIN,WINJ22,J22,2022-04-13,D1,1643760000.0,115010.0,115575.0,113485.0,113485.0,76.0,5.0,181.0
WIN,WINJ22,J22,2022-04-13,D1,1643846400.0,113430.0,114225.0,113200.0,114195.0,135.0,5.0,229.0
WIN,WINJ22,J22,2022-04-13,D1,1643932800.0,113400.0,114290.0,112150.0,114020.0,237.0,5.0,575.0
WIN,WINJ22,J22,2022-04-13,D1,1644192000.0,113925.0,114120.0,113295.0,113885.0,59.0,5.0,143.0
WIN,WINJ22,J22,2022-04-13,D1,1644278400.0,113600.0,114230.0,112695.0,114230.0,125.0,5.0,335.0
WIN,WINJ22,J22,2022-04-13,D1,1644364800.0,114300.0,114865.0,113475.0,113990.0,194.0,5.0,514.0
WIN,WINJ22,J22,2022-04-13,D1,1644451200.0,114000.0,115550.0,113850.0,115090.0,327.0,5.0,1854.0
WIN,WINJ22,J22,2022-04-13,D1,1644537600.0,114700.0,116550.0,114115.0,115315.0,2031.0,5.0,5915.0
WIN,WINJ22,J22,2022-04-13,D1,1644796800.0,115000.0,115850.0,114420.0,115515.0,20099.0,5.0,43633.0
WIN,WINJ22,J22,2022-04-13,D1,1644883200.0,115850.0,116575.0,115540.0,116525.0,79778.0,5.0,306168.0
WIN,WINJ22,J22,2022-04-13,D1,1644969600.0,116255.0,117270.0,116255.0,116680.0,4118034.0,5.0,13658563.0
WIN,WINJ22,J22,2022-04-13,D1,1645056000.0,116300.0,116630.0,114800.0,114900.0,4511191.0,5.0,14755035.0
WIN,WINJ22,J22,2022-04-13,D1,1645142400.0,115355.0,115815.0,114060.0,114160.0,5174982.0,5.0,16688996.0
WIN,WINJ22,J22,2022-04-13,D1,1645401600.0,114320.0,114840.0,112950.0,112950.0,3924414.0,5.0,12266322.0
WIN,WINJ22,J22,2022-04-13,D1,1645488000.0,113650.0,114795.0,113585.0,114795.0,5563051.0,5.0,18498273.0
WIN,WINJ22,J22,2022-04-13,D1,1645574400.0,114700.0,115110.0,112925.0,113010.0,5172629.0,5.0,17470422.0
WIN,WINJ22,J22,2022-04-13,D1,1645660800.0,110500.0,112870.0,110050.0,112750.0,6864202.0,5.0,21701807.0
WIN,WINJ22,J22,2022-04-13,D1,1645747200.0,112595.0,114495.0,111755.0,114250.0,5136669.0,5.0,16486518.0
WIN,WINJ22,J22,2022-04-13,D1,1646179200.0,115250.0,116670.0,115125.0,116605.0,2508116.0,5.0,8399728.0
WIN,WINJ22,J22,2022-04-13,D1,1646265600.0,116550.0,117155.0,116190.0,116610.0,4784862.0,5.0,15576760.0
WIN,WINJ22,J22,2022-04-13,D1,1646352000.0,115795.0,116190.0,114545.0,115585.0,5042732.0,5.0,16046084.0
WIN,WINJ22,J22,2022-04-13,D1,1646611200.0,115140.0,115630.0,111815.0,111815.0,5180746.0,5.0,17086533.0
WIN,WINJ22,J22,2022-04-13,D1,1646697600.0,112720.0,113645.0,111995.0,112010.0,7044978.0,5.0,23234784.0
WIN,WINJ22,J22,2022-04-13,D1,1646784000.0,113390.0,115130.0,112660.0,114790.0,5117818.0,5.0,17287476.0
