ticker,symbol,future,expiry,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITJ25,J25,2025-04-26,D1,2025-03-25,1742860800,508520.0,509520.0,508520.0,509520.0,2,20,2
BIT,BITJ25,J25,2025-04-26,D1,2025-03-26,1742947200,500120.0,504220.0,500120.0,504220.0,6,20,6
BIT,BITJ25,J25,2025-04-26,D1,2025-03-27,1743033600,502220.0,510280.0,500780.0,508760.0,323,20,615
BIT,BITJ25,J25,2025-04-26,D1,2025-03-28,1743120000,496140.0,498240.0,481960.0,484800.0,102948,20,164711
BIT,BITJ25,J25,2025-04-26,D1,2025-03-31,1743379200,479400.0,485360.0,472660.0,472700.0,152900,20,240964
BIT,BITJ25,J25,2025-04-26,D1,2025-04-01,1743465600,483100.0,491340.0,474800.0,488480.0,140706,20,217434
BIT,BITJ25,J25,2025-04-26,D1,2025-04-02,1743552000,484200.0,507800.0,481020.0,483060.0,187026,20,296188
BIT,BITJ25,J25,2025-04-26,D1,2025-04-03,1743638400,471840.0,471960.0,458040.0,467860.0,145836,20,223518
BIT,BITJ25,J25,2025-04-26,D1,2025-04-04,1743724800,472700.0,497400.0,472700.0,497360.0,179986,20,281843
BIT,BITJ25,J25,2025-04-26,D1,2025-04-07,1743984000,454740.0,476300.0,449780.0,470100.0,227873,20,396670
BIT,BITJ25,J25,2025-04-26,D1,2025-04-08,1744070400,473580.0,476580.0,459660.0,464040.0,171991,20,274701
BIT,BITJ25,J25,2025-04-26,D1,2025-04-09,1744156800,459720.0,490140.0,459720.0,486540.0,180536,20,286937
BIT,BITJ25,J25,2025-04-26,D1,2025-04-10,1744243200,480660.0,485100.0,467480.0,470820.0,151516,20,242436
BIT,BITJ25,J25,2025-04-26,D1,2025-04-11,1744329600,479940.0,498580.0,479020.0,495540.0,139319,20,216649
BIT,BITJ25,J25,2025-04-26,D1,2025-04-14,1744588800,498580.0,503560.0,492440.0,498360.0,117384,20,193160
BIT,BITJ25,J25,2025-04-26,D1,2025-04-15,1744675200,502180.0,509460.0,491560.0,492660.0,109063,20,175560
BIT,BITJ25,J25,2025-04-26,D1,2025-04-16,1744761600,493660.0,503020.0,490880.0,498660.0,119823,20,200237
BIT,BITJ25,J25,2025-04-26,D1,2025-04-17,1744848000,498360.0,500500.0,492740.0,495220.0,94576,20,154691
BIT,BITJ25,J25,2025-04-26,D1,2025-04-22,1745280000,514540.0,528160.0,513360.0,524520.0,119738,20,187130
BIT,BITJ25,J25,2025-04-26,D1,2025-04-23,1745366400,534640.0,538700.0,525840.0,535840.0,121885,20,184684
BIT,BITJ25,J25,2025-04-26,D1,2025-04-24,1745452800,529700.0,533500.0,526260.0,530380.0,92562,20,138362
BIT,BITJ25,J25,2025-04-26,D1,2025-04-25,1745539200,538440.0,550320.0,536420.0,542840.0,9995,20,13535
BIT,BITK25,K25,2025-05-31,D1,2025-04-15,1744675200,508200.0,508200.0,495240.0,495240.0,2,20,2
BIT,BITK25,K25,2025-05-31,D1,2025-04-22,1745280000,530300.0,530300.0,530300.0,530300.0,1,20,1
BIT,BITK25,K25,2025-05-31,D1,2025-04-24,1745452800,531100.0,541340.0,531100.0,537180.0,74,20,138
BIT,BITK25,K25,2025-05-31,D1,2025-04-25,1745539200,547320.0,554480.0,544520.0,547980.0,86148,20,139472
BIT,BITK25,K25,2025-05-31,D1,2025-04-28,1745798400,551000.0,552400.0,536580.0,536960.0,96920,20,153780
BIT,BITK25,K25,2025-05-31,D1,2025-04-29,1745884800,544820.0,547600.0,533580.0,537940.0,85761,20,139372
BIT,BITK25,K25,2025-05-31,D1,2025-04-30,1745971200,542800.0,550000.0,533920.0,547100.0,101236,20,162892
BIT,BITK25,K25,2025-05-31,D1,2025-05-02,1746144000,556660.0,560140.0,551740.0,556020.0,95444,20,154384
BIT,BITK25,K25,2025-05-31,D1,2025-05-05,1746403200,538380.0,545660.0,534040.0,544820.0,95785,20,155946
BIT,BITK25,K25,2025-05-31,D1,2025-05-06,1746489600,538880.0,549000.0,538880.0,547260.0,103290,20,160817
BIT,BITK25,K25,2025-05-31,D1,2025-05-07,1746576000,559040.0,565120.0,556340.0,562980.0,118980,20,184952
BIT,BITK25,K25,2025-05-31,D1,2025-05-08,1746662400,574160.0,596480.0,569200.0,591380.0,133508,20,209405
BIT,BITK25,K25,2025-05-31,D1,2025-05-09,1746748800,589860.0,592660.0,583160.0,587000.0,124425,20,197681
