ticker,symbol,future,expiry,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITJ25,J25,2025-04-26,M30,2025-03-25 16:30:00,1742920200,508520.0,509520.0,508520.0,509520.0,2,20,2
BIT,BITJ25,J25,2025-04-26,M30,2025-03-26 16:30:00,1743006600,500120.0,502000.0,500120.0,502000.0,5,20,5
BIT,BITJ25,J25,2025-04-26,M30,2025-03-26 17:00:00,1743008400,504220.0,504220.0,504220.0,504220.0,1,20,1
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 09:00:00,1743066000,502220.0,506780.0,502220.0,504940.0,11,20,20
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 09:30:00,1743067800,507200.0,507200.0,507200.0,507200.0,1,20,1
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 10:00:00,1743069600,506520.0,506520.0,504280.0,504280.0,7,20,12
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 10:30:00,1743071400,505500.0,505500.0,500780.0,500780.0,12,20,17
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 11:00:00,1743073200,503080.0,503080.0,501980.0,502500.0,15,20,34
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 11:30:00,1743075000,505040.0,506220.0,505040.0,506220.0,2,20,2
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 12:00:00,1743076800,505960.0,506720.0,505960.0,506720.0,4,20,4
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 12:30:00,1743078600,505760.0,505760.0,504960.0,504960.0,2,20,2
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 13:00:00,1743080400,506000.0,506000.0,506000.0,506000.0,1,20,1
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 13:30:00,1743082200,504920.0,505140.0,504580.0,504580.0,3,20,3
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 14:00:00,1743084000,503520.0,504340.0,503520.0,504260.0,4,20,4
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 14:30:00,1743085800,503740.0,505660.0,503740.0,505660.0,8,20,12
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 15:00:00,1743087600,505260.0,505260.0,505260.0,505260.0,1,20,1
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 15:30:00,1743089400,506000.0,507240.0,505680.0,506540.0,12,20,14
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 16:00:00,1743091200,507400.0,510280.0,506420.0,510020.0,84,20,147
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 16:30:00,1743093000,509340.0,510100.0,508080.0,508360.0,73,20,146
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 17:00:00,1743094800,508360.0,509160.0,507120.0,509000.0,63,20,156
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 17:30:00,1743096600,509240.0,509240.0,508760.0,509140.0,9,20,18
BIT,BITJ25,J25,2025-04-26,M30,2025-03-27 18:00:00,1743098400,508760.0,510140.0,508760.0,508760.0,11,20,21
BIT,BITJ25,J25,2025-04-26,M30,2025-03-28 09:00:00,1743152400,496140.0,497520.0,494540.0,497100.0,3106,20,4358
BIT,BITJ25,J25,2025-04-26,M30,2025-03-28 09:30:00,1743154200,497080.0,498060.0,493620.0,494740.0,5967,20,8687
BIT,BITJ25,J25,2025-04-26,M30,2025-03-28 10:00:00,1743156000,494880.0,498240.0,494600.0,497020.0,6750,20,9564
