ticker,symbol,future,tframe,today,expiry,datetime,time,open,high,low,close,tick_volume,spread,real_volume
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-25 16:45:00,1742921100,508520.0,509520.0,508520.0,509520.0,2,20,2
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-26 16:30:00,1743006600,500120.0,500580.0,500120.0,500580.0,4,20,4
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-26 16:45:00,1743007500,502000.0,502000.0,502000.0,502000.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-26 17:00:00,1743008400,504220.0,504220.0,504220.0,504220.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 09:00:00,1743066000,502220.0,506780.0,502220.0,504940.0,11,20,20
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 09:45:00,1743068700,507200.0,507200.0,507200.0,507200.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 10:00:00,1743069600,506520.0,506520.0,506520.0,506520.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 10:15:00,1743070500,506240.0,506240.0,504280.0,504280.0,6,20,11
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 10:30:00,1743071400,505500.0,505500.0,501160.0,501160.0,11,20,16
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 10:45:00,1743072300,500780.0,500780.0,500780.0,500780.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 11:00:00,1743073200,503080.0,503080.0,501980.0,501980.0,2,20,2
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 11:15:00,1743074100,503000.0,503000.0,502500.0,502500.0,13,20,32
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 11:30:00,1743075000,505040.0,505040.0,505040.0,505040.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 11:45:00,1743075900,506220.0,506220.0,506220.0,506220.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 12:00:00,1743076800,505960.0,506720.0,505960.0,506720.0,4,20,4
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 12:30:00,1743078600,505760.0,505760.0,504960.0,504960.0,2,20,2
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 13:15:00,1743081300,506000.0,506000.0,506000.0,506000.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 13:30:00,1743082200,504920.0,504920.0,504920.0,504920.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 13:45:00,1743083100,505140.0,505140.0,504580.0,504580.0,2,20,2
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 14:15:00,1743084900,503520.0,504340.0,503520.0,504260.0,4,20,4
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 14:30:00,1743085800,503740.0,504480.0,503740.0,504480.0,2,20,3
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 14:45:00,1743086700,504440.0,505660.0,504440.0,505660.0,6,20,9
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 15:15:00,1743088500,505260.0,505260.0,505260.0,505260.0,1,20,1
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 15:30:00,1743089400,506000.0,507240.0,505680.0,506920.0,10,20,12
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 15:45:00,1743090300,507060.0,507060.0,506540.0,506540.0,2,20,2
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 16:00:00,1743091200,507400.0,509060.0,506420.0,509060.0,46,20,79
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 16:15:00,1743092100,508200.0,510280.0,508060.0,510020.0,38,20,68
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 16:30:00,1743093000,509340.0,510100.0,509120.0,509600.0,44,20,71
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 16:45:00,1743093900,509740.0,509740.0,508080.0,508360.0,29,20,75
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 17:00:00,1743094800,508360.0,508360.0,507120.0,507220.0,28,20,73
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 17:15:00,1743095700,507180.0,509160.0,507180.0,509000.0,35,20,83
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 17:30:00,1743096600,509240.0,509240.0,509240.0,509240.0,2,20,10
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 17:45:00,1743097500,509100.0,509160.0,508760.0,509140.0,7,20,8
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 18:00:00,1743098400,508760.0,508760.0,508760.0,508760.0,2,20,2
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-27 18:15:00,1743099300,509580.0,510140.0,508760.0,508760.0,9,20,19
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 09:00:00,1743152400,496140.0,496700.0,494540.0,496080.0,1649,20,2352
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 09:15:00,1743153300,496080.0,497520.0,495660.0,497100.0,1457,20,2006
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 09:30:00,1743154200,497080.0,498060.0,493740.0,494620.0,3543,20,5249
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 09:45:00,1743155100,494740.0,495440.0,493620.0,494740.0,2424,20,3438
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 10:00:00,1743156000,494880.0,497260.0,494600.0,497260.0,2907,20,4241
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 10:15:00,1743156900,497280.0,498240.0,496400.0,497020.0,3843,20,5323
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 10:30:00,1743157800,497000.0,498240.0,495060.0,496240.0,5444,20,7944
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 10:45:00,1743158700,496280.0,496280.0,493220.0,493700.0,5377,20,7486
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 11:00:00,1743159600,493600.0,494720.0,489940.0,491340.0,7102,20,10631
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 11:15:00,1743160500,491200.0,492880.0,490240.0,491180.0,4208,20,6545
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 11:30:00,1743161400,491120.0,491640.0,489780.0,490780.0,3676,20,5811
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 11:45:00,1743162300,490800.0,490980.0,489420.0,489660.0,3046,20,4960
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 12:00:00,1743163200,489680.0,490360.0,488220.0,489500.0,4330,20,6661
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 12:15:00,1743164100,489500.0,490060.0,488000.0,489380.0,3108,20,4809
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 12:30:00,1743165000,489340.0,491560.0,488960.0,490220.0,2924,20,4565
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 12:45:00,1743165900,490280.0,490820.0,488660.0,488860.0,2341,20,3912
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 13:00:00,1743166800,488860.0,489620.0,487640.0,487800.0,3035,20,5214
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 13:15:00,1743167700,487760.0,488760.0,486540.0,488380.0,3891,20,6843
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 13:30:00,1743168600,488300.0,489260.0,488000.0,488380.0,1719,20,2891
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 13:45:00,1743169500,488320.0,488680.0,487080.0,487380.0,2376,20,3875
BIT,BITJ25,J25,M15,2026-04-06,2025-04-26,2025-03-28 14:00:00,1743170400,487220.0,487820.0,485800.0,486300.0,3411,20,6625
