ticker,symbol,tframe,datetime,time,open,high,low,close,tick_volume,spread,real_volume,gap,roll
WIN,WIN$N,M12,2021-05-10 09:00:00,1620637200,122295.0,123020.0,122295.0,122965.0,161764,5,448014,,False
WIN,WIN$N,M12,2021-05-10 09:12:00,1620637920,122970.0,123000.0,122650.0,122725.0,104497,5,312378,5.0,False
WIN,WIN$N,M12,2021-05-10 09:24:00,1620638640,122725.0,122880.0,122660.0,122705.0,92844,5,290168,0.0,False
WIN,WIN$N,M12,2021-05-10 09:36:00,1620639360,122705.0,122885.0,122665.0,122860.0,69189,5,235901,0.0,False
WIN,WIN$N,M12,2021-05-10 09:48:00,1620640080,122865.0,122995.0,122780.0,122895.0,126029,5,421173,5.0,False
WIN,WIN$N,M12,2021-05-10 10:00:00,1620640800,122895.0,123020.0,122690.0,122965.0,159420,5,565737,0.0,False
WIN,WIN$N,M12,2021-05-10 10:12:00,1620641520,122965.0,123045.0,122725.0,122805.0,166118,5,595178,0.0,False
WIN,WIN$N,M12,2021-05-10 10:24:00,1620642240,122810.0,122830.0,122625.0,122795.0,139642,5,522363,5.0,False
WIN,WIN$N,M12,2021-05-10 10:36:00,1620642960,122795.0,122845.0,122530.0,122560.0,147321,5,567573,0.0,False
WIN,WIN$N,M12,2021-05-10 10:48:00,1620643680,122560.0,122620.0,122405.0,122460.0,131836,5,516876,0.0,False
WIN,WIN$N,M12,2021-05-10 11:00:00,1620644400,122460.0,122530.0,122340.0,122485.0,122958,5,469625,0.0,False
WIN,WIN$N,M12,2021-05-10 11:12:00,1620645120,122485.0,122495.0,122360.0,122440.0,80363,5,350298,0.0,False
WIN,WIN$N,M12,2021-05-10 11:24:00,1620645840,122445.0,122500.0,122205.0,122205.0,125683,5,495670,5.0,False
WIN,WIN$N,M12,2021-05-10 11:36:00,1620646560,122205.0,122265.0,122135.0,122160.0,96606,5,372529,0.0,False
WIN,WIN$N,M12,2021-05-10 11:48:00,1620647280,122165.0,122340.0,122125.0,122315.0,95843,5,385270,5.0,False
WIN,WIN$N,M12,2021-05-10 12:00:00,1620648000,122315.0,122325.0,122185.0,122245.0,67751,5,287676,0.0,False
WIN,WIN$N,M12,2021-05-10 12:12:00,1620648720,122245.0,122275.0,122130.0,122185.0,67292,5,277470,0.0,False
WIN,WIN$N,M12,2021-05-10 12:24:00,1620649440,122185.0,122450.0,122115.0,122430.0,97056,5,391930,0.0,False
WIN,WIN$N,M12,2021-05-10 12:36:00,1620650160,122435.0,122675.0,122360.0,122645.0,116470,5,472036,5.0,False
WIN,WIN$N,M12,2021-05-10 12:48:00,1620650880,122650.0,122655.0,122490.0,122570.0,78777,5,287910,5.0,False
WIN,WIN$N,M12,2021-05-10 13:00:00,1620651600,122575.0,122665.0,122530.0,122560.0,57228,5,223620,5.0,False
WIN,WIN$N,M12,2021-05-10 13:12:00,1620652320,122560.0,122655.0,122525.0,122575.0,46787,5,184463,0.0,False
WIN,WIN$N,M12,2021-05-10 13:24:00,1620653040,122570.0,122670.0,122560.0,122575.0,44073,5,174199,-5.0,False
WIN,WIN$N,M12,2021-05-10 13:36:00,1620653760,122580.0,122765.0,122565.0,122720.0,62857,5,239379,5.0,False
WIN,WIN$N,M12,2021-05-10 13:48:00,1620654480,122720.0,122740.0,122585.0,122605.0,60119,5,237806,0.0,False
WIN,WIN$N,M12,2021-05-10 14:00:00,1620655200,122605.0,122640.0,122360.0,122460.0,97287,5,375176,0.0,False
WIN,WIN$N,M12,2021-05-10 14:12:00,1620655920,122460.0,122490.0,122320.0,122385.0,71379,5,283657,0.0,False
WIN,WIN$N,M12,2021-05-10 14:24:00,1620656640,122390.0,122520.0,122360.0,122485.0,64192,5,262213,5.0,False
WIN,WIN$N,M12,2021-05-10 14:36:00,1620657360,122490.0,122490.0,122395.0,122430.0,47451,5,212221,5.0,False
WIN,WIN$N,M12,2021-05-10 14:48:00,1620658080,122430.0,122470.0,122330.0,122415.0,72964,5,304005,0.0,False
WIN,WIN$N,M12,2021-05-10 15:00:00,1620658800,122420.0,122555.0,122345.0,122520.0,76268,5,342453,5.0,False
WIN,WIN$N,M12,2021-05-10 15:12:00,1620659520,122525.0,122625.0,122105.0,122210.0,167306,5,687322,5.0,False
WIN,WIN$N,M12,2021-05-10 15:24:00,1620660240,122210.0,122320.0,122045.0,122265.0,130793,5,533092,0.0,False
WIN,WIN$N,M12,2021-05-10 15:36:00,1620660960,122265.0,122335.0,122175.0,122215.0,67996,5,281275,0.0,False
WIN,WIN$N,M12,2021-05-10 15:48:00,1620661680,122215.0,122460.0,122165.0,122445.0,74385,5,335140,0.0,False
WIN,WIN$N,M12,2021-05-10 16:00:00,1620662400,122450.0,122485.0,122360.0,122405.0,52293,5,239365,5.0,False
WIN,WIN$N,M12,2021-05-10 16:12:00,1620663120,122400.0,122415.0,122260.0,122295.0,68120,5,297995,-5.0,False
WIN,WIN$N,M12,2021-05-10 16:24:00,1620663840,122295.0,122390.0,122225.0,122295.0,62493,5,253589,0.0,False
WIN,WIN$N,M12,2021-05-10 16:36:00,1620664560,122295.0,122360.0,122235.0,122305.0,46938,5,185702,0.0,False
WIN,WIN$N,M12,2021-05-10 16:48:00,1620665280,122305.0,122325.0,122105.0,122190.0,77853,5,310940,0.0,False
WIN,WIN$N,M12,2021-05-10 17:00:00,1620666000,122195.0,122230.0,122105.0,122150.0,40844,5,155211,5.0,False
WIN,WIN$N,M12,2021-05-10 17:12:00,1620666720,122150.0,122300.0,122145.0,122270.0,35817,5,127815,0.0,False
WIN,WIN$N,M12,2021-05-10 17:24:00,1620667440,122270.0,122370.0,122240.0,122340.0,28843,5,98881,0.0,False
WIN,WIN$N,M12,2021-05-10 17:36:00,1620668160,122340.0,122395.0,122215.0,122250.0,33445,5,106291,0.0,False
WIN,WIN$N,M12,2021-05-10 17:48:00,1620668880,122255.0,122265.0,122140.0,122200.0,16035,5,57256,5.0,False
WIN,WIN$N,M12,2021-05-11 09:00:00,1620723600,121290.0,121550.0,121225.0,121430.0,146048,5,374625,-910.0,False
WIN,WIN$N,M12,2021-05-11 09:12:00,1620724320,121425.0,121445.0,121200.0,121295.0,90854,5,289012,-5.0,False
WIN,WIN$N,M12,2021-05-11 09:24:00,1620725040,121300.0,121355.0,120990.0,121000.0,115220,5,389347,5.0,False
WIN,WIN$N,M12,2021-05-11 09:36:00,1620725760,121005.0,121075.0,120925.0,121005.0,96627,5,340241,5.0,False
WIN,WIN$N,M12,2021-05-11 09:48:00,1620726480,121005.0,121085.0,120790.0,120890.0,96362,5,334110,0.0,False
WIN,WIN$N,M12,2021-05-11 10:00:00,1620727200,120890.0,120940.0,120555.0,120585.0,162280,5,593278,0.0,False
WIN,WIN$N,M12,2021-05-11 10:12:00,1620727920,120580.0,120815.0,120465.0,120765.0,157712,5,613183,-5.0,False
WIN,WIN$N,M12,2021-05-11 10:24:00,1620728640,120760.0,121175.0,120575.0,121145.0,240547,5,871097,-5.0,False
WIN,WIN$N,M12,2021-05-11 10:36:00,1620729360,121145.0,121600.0,121115.0,121565.0,224174,5,865590,0.0,False
WIN,WIN$N,M12,2021-05-11 10:48:00,1620730080,121565.0,121915.0,121555.0,121900.0,168968,5,674921,0.0,False
WIN,WIN$N,M12,2021-05-11 11:00:00,1620730800,121900.0,121920.0,121615.0,121660.0,127768,5,495256,0.0,False
WIN,WIN$N,M12,2021-05-11 11:12:00,1620731520,121660.0,121850.0,121515.0,121805.0,140380,5,560028,0.0,False
