symbol,tf,time,open,high,low,close,tick_volume,spread,real_volume
BIT$N,D1,1713830400,342500.0,346020.0,339400.0,340500.0,8403,20,9284
BIT$N,D1,1713916800,342980.0,344000.0,329180.0,330700.0,11394,20,13470
BIT$N,D1,1714003200,330780.0,335960.0,327980.0,334480.0,10027,20,11218
BIT$N,D1,1714089600,335240.0,339380.0,330120.0,334300.0,742,20,872
BIT$N,D1,1714348800,325960.0,329040.0,321060.0,329040.0,9560,20,10680
BIT$N,D1,1714435200,319700.0,321560.0,298000.0,303000.0,11670,20,13425
BIT$N,D1,1714608000,305000.0,307980.0,299700.0,302980.0,11726,20,13760
BIT$N,D1,1714694400,304680.0,326940.0,303080.0,326000.0,12739,20,14854
BIT$N,D1,1714953600,327140.0,330340.0,320520.0,322800.0,14204,20,16188
BIT$N,D1,1715040000,324380.0,327060.0,320260.0,320400.0,15910,20,18197
BIT$N,D1,1715126400,318120.0,322240.0,314560.0,318140.0,15557,20,18880
BIT$N,D1,1715212800,315900.0,325960.0,315480.0,322580.0,15822,20,19288
BIT$N,D1,1715299200,326340.0,328160.0,312400.0,313620.0,23516,20,29533
BIT$N,D1,1715558400,323300.0,329300.0,321960.0,328580.0,20496,20,23969
BIT$N,D1,1715644800,322160.0,322160.0,315000.0,315500.0,19542,20,23028
BIT$N,D1,1715731200,322000.0,343480.0,321620.0,341600.0,26306,20,33379
BIT$N,D1,1715817600,341600.0,344840.0,333560.0,339340.0,23788,20,29516
BIT$N,D1,1715904000,342240.0,346640.0,338480.0,341900.0,23228,20,30534
BIT$N,D1,1716163200,344000.0,360780.0,341580.0,355940.0,32109,20,41370
BIT$N,D1,1716249600,362960.0,365840.0,355020.0,357300.0,32766,20,40123
BIT$N,D1,1716336000,358180.0,364900.0,357120.0,358000.0,28445,20,35905
BIT$N,D1,1716422400,361620.0,362280.0,344000.0,348580.0,36247,20,46853
BIT$N,D1,1716508800,347680.0,359620.0,345620.0,359600.0,32072,20,40911
BIT$N,D1,1716768000,355180.0,366240.0,353420.0,362880.0,45997,20,57725
BIT$N,D1,1716854400,355840.0,356300.0,347660.0,351500.0,58902,20,85239
BIT$N,D1,1716940800,349720.0,354640.0,348400.0,348400.0,35462,20,48385
BIT$N,D1,1717113600,355720.0,364520.0,354120.0,360820.0,21026,20,25911
BIT$N,D1,1717372800,365220.0,373620.0,362920.0,368080.0,45207,20,55464
BIT$N,D1,1717459200,366780.0,380000.0,365840.0,379800.0,53204,20,70165
BIT$N,D1,1717545600,380060.0,384180.0,375980.0,378940.0,53437,20,68576
BIT$N,D1,1717632000,380260.0,382560.0,371780.0,372300.0,47894,20,59980
BIT$N,D1,1717718400,380340.0,382680.0,364660.0,375500.0,61959,20,79266
BIT$N,D1,1717977600,374060.0,379580.0,371680.0,377300.0,47840,20,60897
BIT$N,D1,1718064000,362940.0,365380.0,357000.0,361600.0,47829,20,58920
BIT$N,D1,1718150400,365380.0,380960.0,365380.0,371900.0,46264,20,58936
BIT$N,D1,1718236800,368800.0,371820.0,355260.0,355500.0,44768,20,57656
BIT$N,D1,1718323200,362000.0,364820.0,350040.0,353560.0,45534,20,59137
BIT$N,D1,1718582400,355700.0,366180.0,352620.0,365120.0,61432,20,80741
BIT$N,D1,1718668800,358000.0,358040.0,348560.0,353640.0,62807,20,78522
BIT$N,D1,1718755200,354760.0,358460.0,350920.0,351740.0,39216,20,50011
BIT$N,D1,1718841600,358240.0,359500.0,350960.0,357220.0,49960,20,63022
BIT$N,D1,1718928000,350500.0,351420.0,344840.0,349780.0,49764,20,62190
BIT$N,D1,1719187200,334260.0,334900.0,315780.0,316580.0,74629,20,95415
BIT$N,D1,1719273600,328000.0,340500.0,328000.0,336980.0,65875,20,84568
BIT$N,D1,1719360000,336960.0,341360.0,334640.0,336680.0,56221,20,71022
BIT$N,D1,1719446400,338200.0,344340.0,335600.0,336200.0,53206,20,67017
BIT$N,D1,1719532800,342800.0,345840.0,337620.0,341000.0,30512,20,40070
